;merk;model;jaar;land;brandstof;aandrijving;topsnelheid;acceleratie100;maxvermogen;maxkoppel;massaleeg;beoordeling;continent
80;BMW;i4 eDrive35 High Executive;2023.0;Duitsland;elektrisch;R;190.0;6.1;210.0;400.0;1965.0;4.0;Europa
81;Hyundai;Ioniq 6 Lounge Sky;2023.0;Korea;elektrisch;R;185.0;7.5;168.0;350.0;1903.0;4.0;Azie
82;Nio;ETS 75 kWh;2023.0;China;elektrisch;4;200.0;3.8;360.0;700.0;2115.0;3.5;Azie
83;Skoda;Slavia 1.0 TSI;2023.0;Tsjechie;benzine;F;190.0;10.7;84.0;175.0;1278.0;;Europa
84;BMW;X1 sDrive20iA Orange Edition II;2018.0;Duitsland;benzine;F;226.0;7.7;141.0;280.0;1460.0;;Europa
85;BMW;XM;2023.0;Duitsland;hybride;4;250.0;4.3;800.0;650.0;2710.0;3.5;Europa
86;Nio;EL7;2023.0;China;elektrisch;;200.0;3.9;480.0;850.0;2000.0;4.0;Azie
87;BAC;Mono R;2023.0;VK;benzine;R;273.0;2.5;254.0;330.0;555.0;3.0;Europa
88;Fiat;500e Cabrio;2023.0;Italie;elektrisch;F;150.0;9.0;87.0;220.0;1265.0;3.5;Europa
89;Jaguar;F-Type Convertible P450 RWD;2023.0;VK;benzine;R;285.0;4.6;331.0;580.0;1793.0;;Europa
90;Jensen;Healey;1976.0;VK;benzine;R;195.0;7.5;104.0;177.0;965.0;;Europa
91;Triumph;TR7;1981.0;VK;benzine;R;172.0;11.5;163.0;223.0;1134.0;;Europa
93;Mercedes-Benz;190E 1.8 Avantgarde Rosso;1992.0;Duitsland;benzine;R;187.0;12.7;80.0;150.0;1150.0;;Europa
94;DS;3 E-Tense Performance Line;2023.0;Frankrijk;elektrisch;F;151.0;8.8;115.0;260.0;1525.0;2.5;Europa
95;MG;4 64 kWh Long Range Luxury;2023.0;China;elektrisch;R;167.0;7.8;150.0;250.0;1660.0;4.0;Azie
96;Audi;TT Roadster 1.8 5V Turbo;2003.0;Duitsland;benzine;;222.0;8.1;110.0;210.0;1315.0;;Europa
97;BMW;Z3 1.8;1997.0;Duitsland;benzine;;194.0;10.5;85.0;168.0;1135.0;;Europa
